"MvcCore File Manager";"Správce souborů"
"Explorer";"Prohlížeč"
"Last modified";"Naposledy změněno"
"No search results found";"Žádné výsledky nenalezeny"
"Searching...";"Vyhledávání..."
"There are another browser tabs to be restored,";"Existují i další karty prohlížeče, které mají být obnoveny,"
"but it\u0027s not possible from here to restore browser tabs in another browsers,";"ale není možné odtud obnovit karty prohlížeče v jiných prohlížečích,"
"To do it, there will be necessary to start these browsers manually and confirm restoration.";"Aby tak bylo, bude nutné spustit tyto prohlížeče ručně a potvrdit obnovení."
"Do you want to restore all current browser tabs now?";"Chcete obnovit všechny karty pro aktuální prohlížeč nyní?"
"If not, all dialogues will be restored in current browser tab.";"Pokud ne, budou všechny dialogy obnoveny v aktuální kartě prohlížeče."
"It was not possible to restore other browser tabs, enable to open new browser tabs by JavaScript in your browser.";"Nebylo možné obnovit ostatní karty prohlížeče, povolte otevírání nových karet prohlížeče pomocí JavaScriptu ve svém prohlížeči."
"To search, enter min. 4 characters";"Pro vyhledávání zadejte min. 4 znaky"
"Close others";"Zavřít ostatní"
"Close unmodified";"Zavřít nezměněné"
"There are unsaved changes in tab, \u0027{0}\u0027, do you realy want to continue?";"Neuložené změny v záložce, \u0027{0}\u0027, opravdu chcete pokračovat?"
"Unsaved changes in tab, \u0027{0}\u0027.";"Neuložené změny v záložce, \u0027{0}\u0027."
"Close Tab";"Zavřít záložku"
"Id";"Id"
"LastModification";"Poslední změna"
"SystemDescription";"Systémový popisek"
"Save";"Uložit"
"Reload";"Načíst znovu"
"Show in tree";"Ukázat ve stromě"
"Delete";"Smazat"
"Path";"Cesta"
"Content";"Obsah"
"Properties";"Vlastnosti"
"Hidden";"Skrytý"
"Filename";"Jméno souboru"
"New File";"Nový soubor"
"New Directory";"Nová složka"
"New Link";"Nový symlink"
"Refresh";"Načíst znovu"
"Name";"Jméno"
"Type";"Typ"
"Size";"Velikost"
"Errors";"Chyby"
"bytes";"bajtů"
"Directory";"Složka"
"Encoding";"Kódování"
"File reaload";"Znovunačtení souboru"
"There are unsaved changes in tab: '{0}'.";"Byly nalezeny změny v záložce: '{0}'.
"All changed data in this tab will be lost.";"Všechna pozměněná data v této záložce budou ztracena."
"Do you realy want to continue?";"Opravdu chcete pokračovat?"
"Cancel";"Zrušit"
"Yes";"Ano"
"No";"Ne"
"Info";"Info"
"No changes made.";"Nebyly provedeny žádné změny."
"Created";"Vytvořeno"
"Last Change";"Poslední změna"
"Last Access";"Poslední přístup"
"Error by opening the file.";"Chyba při otevírání souboru."
"Error by saving the file.";"Chyba při ukládání souboru."
"Remove file";"Smazat soubor"
"Do you really remove this file? File will be removed permanently! Moving into Recycle Bin is not implemented in this file manager.";"Opravdu chcete smazat tento soubor? Soubor bude smazán trvale! Přesunutí do koše není v tomto správci souborů implementováno!"
"Remove directory and containing files";"Smazat složku a její soubory"
"Do you really remove this directory and all containing files? Whole directory and it\'s files will be removed permanently! Moving into Recycle Bin is not implemented in this file manager.";"Opravdu chcete smazat tuto složku a všechny její soubory? Složka i její soubory budou smazány trvale! Přesunutí do koše není v tomto správci souborů implementováno!"
"Rename a file";"Přejmenovat soubor"
"Please enter a new file name";"Prosím uveďte nové jméno souboru"
"Rename a directory";"Přejmenování složky"
"Please enter a new directory name";"Prosím uveďte nové jméno složky"